what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321963918701
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1321963918850
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321963918976
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321963918992
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1321963936218
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1321963936438
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1321963936462
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1321963936575
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1321963936763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321963937629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321963949481
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1321963963612
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1321963963624
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1321963963648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321963991780
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1321963993136
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1321963993328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321963993974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321964003897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321964009979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321964029769
