what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321984930529
java.vm.specification.version,sysinfo,,,"1.0",1321984930529
java.vm.vendor,sysinfo,,,"Apple Inc.",1321984930529
java.vm.version,sysinfo,,,"20.1-b02-383",1321984930529
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1321984939060
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1321984939292
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1321984939304
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1321984939395
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1321984939544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984940404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984953652
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321984954796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984956147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984963022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984967507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984980315
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321984982657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321984993558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984995830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986284816
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1321986303870
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1321986303871
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1321986303872
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1321986304199
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1321986304244
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1321986304357
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1321986304410
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1321986304442
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1321986304495
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1321986304537
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1321986304644
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1321986304645
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1321986305149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986309282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986309557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321986326562
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1321986327472
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1321986327633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986328746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986342425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321986345016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321986349341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321986352396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986356202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986413493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986509952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986511540
