what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323123963749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323123965288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323123969473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323123974877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323123976008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323123978755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124015234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124036954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124038163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124086406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124369961
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323124377244
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323124378204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124397058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124418370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323124437503
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323124437839
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323124546752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124553881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124762704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124778159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323124968583
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323125017294
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323125018758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323125060977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323125094697
